"psu_id","psu_type","sort_key","n_tracts","n_bg_hh","TotHH","age18plus_hh","age18_34_hh","age35_49_hh","age50_64_hh","age65plus_hh","MOS_psu","pik_psu","selected_psu"
"26163500100","single_tract","26163500100",1,2,1492,2752,1087,701,672,292,12.3923450007111,0.229913636376829,FALSE
"26163500200","single_tract","26163500200",1,2,1076,2088,749,554,496,289,9.41254903956381,0.174629852311017,TRUE
"26163500300","single_tract","26163500300",1,2,917,1464,598,375,354,137,6.59487360845672,0.122353870286767,FALSE
"26163500400","single_tract","26163500400",1,3,406,551,143,166,146,96,2.48966565026234,0.046190457333253,FALSE
"26163500500","single_tract","26163500500",1,2,644,1076,402,236,268,170,4.82369839840778,0.0894934767793651,FALSE
"26163500600","single_tract","26163500600",1,4,1178,1860,706,454,474,226,8.36128551650446,0.155125890844239,FALSE
"26163500700","single_tract","26163500700",1,4,1679,2779,1008,778,702,291,12.5432234229121,0.232712864989092,FALSE
"26163500800","single_tract","26163500800",1,2,1009,1784,636,483,471,194,8.04028707103234,0.149170446586871,FALSE
"26163500900","single_tract","26163500900",1,2,1540,2573,940,679,647,307,11.5926262589339,0.21507655396909,TRUE
"26163501000","single_tract","26163501000",1,2,1163,2029,752,497,521,259,9.12056084309209,0.169212631597256,FALSE
"26163501100","single_tract","26163501100",1,4,1345,2287,850,573,514,350,10.2974731630877,0.19104773957491,FALSE
"LPSU_26163501200_26163502000","paired_link","26163501200",2,2,1532,2391,830,630,642,289,10.7644471755769,0.199711450381761,FALSE
"26163501300","single_tract","26163501300",1,3,1308,2175,802,536,491,346,9.7879436267341,0.181594501423638,FALSE
"26163501400","single_tract","26163501400",1,3,1505,2685,867,686,684,448,12.0793186425968,0.224106097265246,TRUE
"26163501500","single_tract","26163501500",1,3,1578,2893,1027,823,701,342,13.0678497478361,0.242446191982116,FALSE
"26163501600","single_tract","26163501600",1,2,907,1467,484,338,413,232,6.5754650106294,0.121993784983848,FALSE
"26163501700","single_tract","26163501700",1,2,1045,1765,481,401,465,418,7.90838167364585,0.146723222145563,FALSE
"26163501800","single_tract","26163501800",1,2,1896,3202,979,759,852,612,14.3669151934467,0.266547591715152,FALSE
"26163501900","single_tract","26163501900",1,2,1112,1720,591,475,441,213,7.75760409410798,0.143925864454694,TRUE
"26163502600","single_tract","26163502600",1,5,1546,2318,747,563,514,494,10.4238441619821,0.193392285008944,FALSE
"26163502700","single_tract","26163502700",1,4,1278,1852,506,429,560,357,8.29229887313132,0.153845990225071,FALSE
"26163503100","single_tract","26163503100",1,2,1122,2221,708,506,611,396,9.95306186999906,0.184657919666031,FALSE
"26163503200","single_tract","26163503200",1,2,1202,2068,783,572,498,215,9.33534305237172,0.173197459227676,FALSE
"26163503300","single_tract","26163503300",1,2,1360,2308,805,644,547,312,10.419943973504,0.193319925296919,FALSE
"LPSU_26163503400_26163503600","paired_link","26163503400",2,2,1137,1753,580,451,428,294,7.89128950623634,0.146406113288244,TRUE
"26163503500","single_tract","26163503500",1,3,1239,1937,681,510,473,273,8.72737654574704,0.161917932203099,FALSE
"LPSU_26163503900_26163504200","paired_link","26163503900",2,2,1701,2483,823,580,610,470,11.1463678827332,0.206797177787259,FALSE
"26163504000","single_tract","26163504000",1,2,469,772,249,215,168,140,3.48639050729977,0.0646825697087156,FALSE
"26163504100","single_tract","26163504100",1,2,611,895,266,208,250,171,4.01156134162728,0.0744259989170182,FALSE
"26163504300","single_tract","26163504300",1,3,912,1402,428,342,353,279,6.29842766436303,0.116853945535492,FALSE
"26163504400","single_tract","26163504400",1,3,715,1045,313,283,278,171,4.70686323327596,0.087325848483784,FALSE
"26163505100","single_tract","26163505100",1,3,1441,2253,692,495,637,429,10.0833676662245,0.187075466905835,TRUE
"26163505200","single_tract","26163505200",1,2,1340,2204,731,506,548,419,9.88841190041566,0.183458476816617,FALSE
"26163505400","single_tract","26163505400",1,2,900,1417,459,352,351,255,6.37107848753637,0.11820182722702,FALSE
"26163505600","single_tract","26163505600",1,3,1794,2992,980,706,806,500,13.4244142704225,0.249061489247171,FALSE
"26163505700","single_tract","26163505700",1,4,1635,2299,611,540,631,517,10.3059920296165,0.191205789046688,FALSE
"26163505800","single_tract","26163505800",1,4,1199,2221,857,555,470,339,10.0050468763026,0.185622391026022,FALSE
"LPSU_26163506100_26163506200","paired_link","26163506100",2,2,1522,2732,954,642,669,467,12.2685484324579,0.22761685403447,TRUE
"26163506300","single_tract","26163506300",1,2,826,1361,444,332,344,241,6.1152826417541,0.113456078696737,FALSE
"26163506400","single_tract","26163506400",1,2,342,697,206,179,209,103,3.13086139105131,0.0580864822087442,FALSE
"26163506500","single_tract","26163506500",1,2,932,1459,423,362,408,266,6.5509257387401,0.121538510922822,FALSE
"26163506600","single_tract","26163506600",1,2,1257,1970,629,468,529,344,8.84011454956021,0.16400954637403,FALSE
"LPSU_26163506700_26163507200","paired_link","26163506700",2,2,976,1520,438,372,408,302,6.82445146223037,0.126613199670322,FALSE
"26163506800","single_tract","26163506800",1,2,1637,2899,920,701,745,533,13.019795601149,0.241554649371967,FALSE
"26163506900","single_tract","26163506900",1,3,1459,2551,850,633,579,489,11.4779164460506,0.212948357069584,TRUE
"26163507000","single_tract","26163507000",1,2,1183,1886,634,467,449,336,8.48258118158667,0.15737627424094,FALSE
"26163507100","single_tract","26163507100",1,2,1060,1690,513,389,472,316,7.57341960815882,0.140508712581796,FALSE
"26163507300","single_tract","26163507300",1,2,1086,1687,517,362,438,370,7.55120595620316,0.140096585458315,FALSE
"26163507400","single_tract","26163507400",1,2,1206,1891,590,438,519,344,8.47757657439411,0.157283424385791,FALSE
"26163507500","single_tract","26163507500",1,2,1072,1681,474,377,419,411,7.53352595577967,0.139768570608157,FALSE
"26163508000","single_tract","26163508000",1,2,629,835,270,210,270,85,3.74664938306996,0.0695111202795911,TRUE
"26163508100","single_tract","26163508100",1,2,679,963,277,252,259,175,4.33204921057997,0.0803719705116877,FALSE
"26163509000","single_tract","26163509000",1,4,1090,1511,456,391,401,263,6.7966217861519,0.126096879149386,FALSE
"26163509100","single_tract","26163509100",1,5,1440,3214,1293,771,778,372,14.4499115862932,0.268087413474828,FALSE
"26163510600","single_tract","26163510600",1,3,1636,3661,1424,968,815,454,16.5143250760597,0.306388220335059,FALSE
"26163511200","single_tract","26163511200",1,2,736,940,351,227,199,163,4.22983689172206,0.0784756380653443,FALSE
"26163511300","single_tract","26163511300",1,2,822,1511,582,375,324,230,6.80468391709644,0.126246454862643,FALSE
"26163511400","single_tract","26163511400",1,2,1303,1675,508,330,436,401,7.48178765911162,0.138808676421366,TRUE
"26163511900","single_tract","26163511900",1,2,1234,1320,499,272,397,152,5.89898765915994,0.109443184771056,FALSE
"26163512800","single_tract","26163512800",1,3,1357,1819,529,427,564,299,8.1468778356936,0.151148011793944,FALSE
"26163513200","single_tract","26163513200",1,2,915,1183,326,302,338,217,5.3143418272783,0.0985963233261281,FALSE
"26163513300","single_tract","26163513300",1,2,1080,1669,404,354,455,456,7.46075464508033,0.138418453526537,FALSE
"26163513700","single_tract","26163513700",1,3,1479,2307,580,457,609,661,10.2996794116088,0.191088671829477,FALSE
"26163513800","single_tract","26163513800",1,2,1636,1945,718,360,534,333,8.67733496312384,0.160989516941073,FALSE
"26163513900","single_tract","26163513900",1,2,905,1165,380,238,325,222,5.20622591264081,0.0965904622011281,TRUE
"26163514100","single_tract","26163514100",1,2,1021,1304,389,285,373,257,5.83419935407399,0.108241175400259,FALSE
"26163514200","single_tract","26163514200",1,2,1108,1485,368,286,423,408,6.62094625392005,0.122837592837107,FALSE
"26163514300","single_tract","26163514300",1,2,1040,1726,390,331,518,487,7.68934445729339,0.142659451897837,FALSE
"LPSU_26163514500_26163516400","paired_link","26163514500",2,2,1206,1632,557,372,441,262,7.31637091340993,0.13573972010037,FALSE
"26163515200","single_tract","26163515200",1,2,664,1120,258,205,316,341,4.98758946860917,0.0925341274324522,FALSE
"26163515300","single_tract","26163515300",1,2,1906,2439,703,418,713,605,10.8491435101842,0.201282810949614,FALSE
"26163515400","single_tract","26163515400",1,2,725,1128,330,302,237,259,5.08752379979099,0.0943881966566046,FALSE
"26163515700","single_tract","26163515700",1,3,3906,4417,1048,578,1168,1623,19.562278439565,0.362936520214563,TRUE
"26163516000","single_tract","26163516000",1,2,1080,1722,537,386,465,334,7.71430863377069,0.143122609160866,FALSE
"26163516500","single_tract","26163516500",1,2,1928,2441,965,504,522,450,10.9411552551741,0.202989893416959,FALSE
"26163516600","single_tract","26163516600",1,3,1436,1679,638,319,377,345,7.50761971905325,0.139287935418428,FALSE
"26163516700","single_tract","26163516700",1,3,1881,2604,699,502,712,691,11.6168667664392,0.215526285091637,TRUE
"LPSU_26163516800_26163517100","paired_link","26163516800",2,2,1560,1953,662,320,488,483,8.69573408506873,0.161330873563427,FALSE
"26163516900","single_tract","26163516900",1,2,1584,1948,256,221,608,863,8.58765413236551,0.159325679635724,FALSE
"26163517000","single_tract","26163517000",1,2,2430,2852,1280,485,474,613,12.7552018476766,0.236645674353926,FALSE
"26163517200","single_tract","26163517200",1,2,941,1650,672,417,417,144,7.42716258952173,0.137795224295394,FALSE
"26163517300","single_tract","26163517300",1,2,1333,1683,699,428,302,254,7.59520393464981,0.140912874483299,FALSE
"26163517500","single_tract","26163517500",1,2,2126,2528,780,344,655,749,11.2127345625762,0.208028470548724,TRUE
"26163518000","single_tract","26163518000",1,2,1526,2016,878,387,401,350,9.0287599741135,0.167509461486336,FALSE
"LPSU_26163518900_26163520800","paired_link","26163518900",2,2,2095,2647,861,535,633,618,11.8409619173167,0.219683894569884,FALSE
"26163519000","single_tract","26163519000",1,2,636,879,252,172,270,185,3.91916621232028,0.0727118035680943,FALSE
"26163519100","single_tract","26163519100",1,2,712,861,210,173,263,215,3.8398801788603,0.0712408196449035,FALSE
"26163519200","single_tract","26163519200",1,3,832,1164,276,290,350,248,5.2208550869953,0.0968618754544583,FALSE
"26163519300","single_tract","26163519300",1,2,699,1057,254,195,327,281,4.70420011778382,0.0872764400330949,FALSE
"26163520200","single_tract","26163520200",1,2,1063,3550,3241,137,96,76,15.7754418247029,0.292679811218978,TRUE
"26163520300","single_tract","26163520300",1,3,1676,2505,1809,312,231,153,11.1998998157923,0.207790349087055,FALSE
"26163520400","single_tract","26163520400",1,3,1379,1583,906,333,228,116,7.12641493591119,0.132215490462174,FALSE
"26163520700","single_tract","26163520700",1,4,3303,3067,1776,466,412,413,13.7190038897925,0.254526973836596,FALSE
"26163521100","single_tract","26163521100",1,2,841,1259,433,334,281,211,5.67721803375127,0.10532872047776,FALSE
"26163521400","single_tract","26163521400",1,2,978,1211,604,289,192,126,5.46320915888075,0.101358240424504,FALSE
"26163521500","single_tract","26163521500",1,2,705,1031,413,224,254,140,4.62245440018054,0.0857598218957429,FALSE
"LPSU_26163521800_26163522400","paired_link","26163521800",2,2,1420,1793,544,348,417,484,8.01320524445724,0.14866800082481,TRUE
"26163521900","single_tract","26163521900",1,4,1530,2409,1125,436,488,360,10.7770921084426,0.1999460502494,FALSE
"26163522000","single_tract","26163522000",1,2,915,1341,463,300,372,206,6.00770744219402,0.111460249391355,FALSE
"26163522300","single_tract","26163522300",1,3,1005,982,257,192,368,165,4.36783716880349,0.0810359400520129,FALSE
"26163522500","single_tract","26163522500",1,2,1354,1181,263,247,383,288,5.26781834432475,0.0977331789299582,FALSE
"26163522800","single_tract","26163522800",1,2,648,913,293,242,248,130,4.10969581678026,0.0762466756359974,FALSE
"LPSU_26163523100_26163524600","paired_link","26163523100",2,2,1241,1964,739,532,474,219,8.85967154742224,0.164372384924346,FALSE
"26163523200","single_tract","26163523200",1,3,1157,2252,880,658,465,249,10.1963952539476,0.18917245369105,TRUE
"26163523300","single_tract","26163523300",1,3,1057,2023,801,589,421,212,9.15844933503845,0.169915572078635,FALSE
"26163523400","single_tract","26163523400",1,2,1260,1669,627,447,373,222,7.53045809522192,0.139711652972577,FALSE
"26163523800","single_tract","26163523800",1,4,1270,2544,1063,729,522,230,11.5144799753343,0.213626715683383,FALSE
"26163524001","single_tract","26163524001",1,3,1013,1797,666,550,367,214,8.14828268650028,0.151174075816332,FALSE
"26163524101","single_tract","26163524101",1,2,1519,2583,897,714,607,365,11.6585498365204,0.216299625909469,FALSE
"26163524200","single_tract","26163524200",1,3,1463,2884,1122,901,577,284,13.0906863939542,0.242869877438854,TRUE
"26163524300","single_tract","26163524300",1,2,880,1772,671,554,381,166,8.03888988740031,0.149144524812622,FALSE
"26163524500","single_tract","26163524500",1,3,39,71,20,17,21,13,0.318282002009565,0.00590504641947246,FALSE
"26163524700","single_tract","26163524700",1,3,1858,2954,743,645,878,688,13.2054366049914,0.244998823840286,FALSE
"26163524800","single_tract","26163524800",1,2,1174,1958,536,466,527,429,8.78267953637428,0.162943961713809,FALSE
"26163525400","single_tract","26163525400",1,2,844,1312,413,288,395,216,5.86877690781323,0.108882688456646,FALSE
"26163525700","single_tract","26163525700",1,4,1483,2906,1057,956,606,287,13.208920585,0.245063461688311,TRUE
"26163525800","single_tract","26163525800",1,2,640,1140,460,352,233,95,5.17239620230763,0.095962823790494,FALSE
"26163525900","single_tract","26163525900",1,3,962,1771,634,547,382,208,8.0291161780282,0.148963194397555,FALSE
"26163526000","single_tract","26163526000",1,2,965,1948,834,538,383,193,8.80962502612746,0.16344387803576,FALSE
"26163526100","single_tract","26163526100",1,2,747,1679,741,468,284,186,7.60284638422197,0.141054663900222,FALSE
"26163526200","single_tract","26163526200",1,3,875,1869,810,580,300,179,8.49558656200634,0.157617561447242,FALSE
"26163526300","single_tract","26163526300",1,3,1106,2104,827,685,390,202,9.56938175255443,0.177539550140156,FALSE
"26163526400","single_tract","26163526400",1,2,508,964,363,265,205,131,4.35459637307016,0.0807902852146597,TRUE
"26163526500","single_tract","26163526500",1,2,969,1312,451,315,314,232,5.89598450553865,0.109387467635225,FALSE
"26163527900","single_tract","26163527900",1,4,1452,1386,421,368,357,240,6.24088098573639,0.11578628916023,FALSE
"26163530100","single_tract","26163530100",1,2,1389,1867,535,407,574,351,8.34593297889772,0.154841057122407,FALSE
"26163530200","single_tract","26163530200",1,3,1583,2903,1364,482,627,430,12.9593218390743,0.240432687181341,FALSE
"26163530300","single_tract","26163530300",1,2,780,1026,303,265,275,183,4.61411459494121,0.085605094525811,FALSE
"26163530400","single_tract","26163530400",1,2,782,901,329,184,245,143,4.0288320115512,0.0747464195092987,FALSE
"26163530500","single_tract","26163530500",1,2,1177,1713,571,387,436,319,7.68092779570915,0.142503298621691,FALSE
"26163530800","single_tract","26163530800",1,2,1011,1092,333,231,310,218,4.8823528237012,0.0905816850408386,TRUE
"26163530900","single_tract","26163530900",1,3,1273,1281,373,269,360,279,5.72610109202834,0.106235641781602,FALSE
"LPSU_26163531100_26163531300","paired_link","26163531100",2,2,1441,1678,484,349,559,286,7.48632505001178,0.13889285807072,FALSE
"26163531200","single_tract","26163531200",1,2,1134,1793,593,430,433,337,8.05573282562154,0.149457009751791,FALSE
"26163531400","single_tract","26163531400",1,2,891,1154,361,253,305,235,5.16778547848878,0.0958772816046156,FALSE
"26163531501","single_tract","26163531501",1,2,860,982,325,259,244,154,4.42327319429928,0.0820644377421016,FALSE
"LPSU_26163531502_26163531900","paired_link","26163531502",2,2,1152,1237,364,299,371,203,5.5466894653478,0.102907040173429,FALSE
"26163531600","single_tract","26163531600",1,2,1015,1290,394,294,387,215,5.77567785212736,0.107155433249116,FALSE
"26163531700","single_tract","26163531700",1,2,1005,1247,369,246,373,259,5.56291467277735,0.103208064430007,FALSE
"26163531800","single_tract","26163531800",1,2,960,1127,349,255,322,201,5.04741410468569,0.0936440464691223,TRUE
"26163532100","single_tract","26163532100",1,2,1160,1780,590,425,412,353,7.99893987093339,0.148403337123068,FALSE
"LPSU_26163532400_26163532700","paired_link","26163532400",2,2,1458,1661,585,399,423,254,7.46144738734836,0.138431305887725,FALSE
"26163532600","single_tract","26163532600",1,2,1490,1733,627,337,454,315,7.74252681989223,0.143646137660338,FALSE
"26163533000","single_tract","26163533000",1,2,794,1131,322,223,348,238,5.04344757507839,0.0935704559383747,FALSE
"26163533100","single_tract","26163533100",1,2,977,1055,311,207,244,293,4.7159296105232,0.0874940558538628,FALSE
"26163533200","single_tract","26163533200",1,2,703,839,292,164,209,174,3.74987750726151,0.0695710112664473,FALSE
"26163533300","single_tract","26163533300",1,2,761,922,275,177,285,185,4.10931854800417,0.0762396762152908,FALSE
"26163533400","single_tract","26163533400",1,3,1468,1646,551,360,429,306,7.37300341253602,0.136790415816995,FALSE
"26163533600","single_tract","26163533600",1,2,991,1035,302,275,279,179,4.65820069222097,0.0864230184085523,TRUE
"26163533800","single_tract","26163533800",1,4,1184,1445,410,345,420,270,6.47837664989116,0.120192516695569,FALSE
"26163533900","single_tract","26163533900",1,4,2610,2917,1262,566,704,385,13.049125592107,0.242098805048367,FALSE
"26163534100","single_tract","26163534100",1,2,1127,1316,359,321,404,232,5.89989229206662,0.109459968312924,FALSE
"26163534200","single_tract","26163534200",1,3,1632,2257,670,519,608,460,10.1165820749659,0.187691689702521,FALSE
"LPSU_26163534300_26163535700","paired_link","26163534300",2,2,1297,1717,567,417,421,312,7.7160541852375,0.14315499416025,FALSE
"26163534400","single_tract","26163534400",1,2,874,1135,348,251,328,208,5.07954068199171,0.0942400868644102,FALSE
"26163534700","single_tract","26163534700",1,3,1463,2214,669,521,594,430,9.93088256013631,0.18424642968713,TRUE
"26163534800","single_tract","26163534800",1,3,1194,1641,471,427,406,337,7.38574689304466,0.137026844026803,FALSE
"26163535000","single_tract","26163535000",1,3,1241,1808,561,449,464,334,8.12565467565665,0.150754261143908,FALSE
"26163535100","single_tract","26163535100",1,2,819,1267,439,295,311,222,5.68801867389773,0.105529103411832,FALSE
"26163535200","single_tract","26163535200",1,2,1057,1516,517,387,344,268,6.82721769554087,0.126664521253077,FALSE
"26163535300","single_tract","26163535300",1,3,1629,2862,914,711,667,570,12.8734670966704,0.238839834817633,FALSE
"26163535600","single_tract","26163535600",1,4,1613,2896,816,614,740,726,12.9575598338701,0.240399996917812,TRUE
"26163535800","single_tract","26163535800",1,5,1864,2966,890,702,814,560,13.3032139975713,0.246812875650674,FALSE
"26163536100","single_tract","26163536100",1,3,1763,2417,788,530,545,554,10.8384531047119,0.201084473185749,FALSE
"26163536200","single_tract","26163536200",1,2,878,1545,487,376,384,298,6.94176446137657,0.128789693160975,FALSE
"26163536300","single_tract","26163536300",1,3,1365,1997,715,464,473,345,8.96818679777936,0.166385654875313,FALSE
"26163536400","single_tract","26163536400",1,3,1242,1609,462,382,446,319,7.21583218893666,0.13387443764261,FALSE
"26163536500","single_tract","26163536500",1,2,1126,1597,488,400,390,319,7.18162685017163,0.133239830244372,TRUE
"26163536600","single_tract","26163536600",1,2,1404,1905,530,472,529,374,8.55269157038213,0.158677023569242,FALSE
"LPSU_26163536700_26163536800","paired_link","26163536700",2,2,1310,1959,624,481,459,395,8.80834367902752,0.163420105362292,FALSE
"26163536900","single_tract","26163536900",1,2,1384,2418,796,613,592,417,10.8797111474173,0.201849928523511,FALSE
"26163537000","single_tract","26163537000",1,3,1497,2381,810,549,541,481,10.6918923386175,0.198365349510529,FALSE
"26163537100","single_tract","26163537100",1,2,972,1432,443,393,352,244,6.45740671588996,0.119803464116697,FALSE
"LPSU_26163537200_26163538800","paired_link","26163537200",2,2,1028,1669,487,396,447,339,7.48734222394173,0.138911729572203,TRUE
"26163537300","single_tract","26163537300",1,3,1069,1511,433,385,397,296,6.79307255538856,0.126031030712218,FALSE
"26163537500","single_tract","26163537500",1,3,1170,1988,643,477,473,395,8.93234759420944,0.165720734586446,FALSE
"26163537600","single_tract","26163537600",1,3,1418,2522,756,587,653,526,11.3121383795276,0.209872697208304,FALSE
"26163537700","single_tract","26163537700",1,3,1420,2165,710,512,555,388,9.71849769938887,0.180306079766027,FALSE
"26163537800","single_tract","26163537800",1,2,734,1125,380,292,266,187,5.06719545014796,0.0940110473125781,FALSE
"26163538100","single_tract","26163538100",1,2,1020,1803,425,393,481,504,8.06626881427489,0.149652482639608,TRUE
"26163538200","single_tract","26163538200",1,2,769,1624,322,363,418,521,7.26968850664373,0.134873627210459,FALSE
"26163538300","single_tract","26163538300",1,2,1738,1772,595,371,544,262,7.91718581596703,0.146886564303656,FALSE
"26163538400","single_tract","26163538400",1,2,1378,2707,698,619,677,713,12.1346683828253,0.225132994115497,FALSE
"26163538500","single_tract","26163538500",1,4,2401,3943,1260,900,944,839,17.6909410531139,0.32821783029896,FALSE
"26163538600","single_tract","26163538600",1,4,1958,3619,1097,828,943,751,16.2248247195807,0.301017156207434,TRUE
"26163538700","single_tract","26163538700",1,2,1706,2911,815,650,678,768,13.0508866724642,0.242131478153326,FALSE
"26163538900","single_tract","26163538900",1,2,1618,2786,783,576,682,745,12.4619081812442,0.231204233418261,FALSE
"26163539000","single_tract","26163539000",1,2,1217,2061,608,524,529,400,9.26766934082894,0.171941917269554,FALSE
"LPSU_26163539100_26163539700","paired_link","26163539100",2,2,1824,3037,815,636,800,786,13.5791588000338,0.251932445269644,TRUE
"26163539200","single_tract","26163539200",1,3,2313,3908,976,868,1062,1002,17.4916534577308,0.324520472314116,FALSE
"26163539300","single_tract","26163539300",1,2,1586,2945,788,700,771,686,13.2117235194845,0.245115464183386,FALSE
"26163539400","single_tract","26163539400",1,3,1434,2819,838,630,663,688,12.6399005000759,0.23450650278434,FALSE
"26163539500","single_tract","26163539500",1,3,1355,2379,519,516,563,781,10.6502296975051,0.197592387708815,TRUE
"26163539600","single_tract","26163539600",1,2,1317,2439,720,564,614,541,10.9399425231457,0.202967393750383,FALSE
"26163540100","single_tract","26163540100",1,3,1397,2361,745,538,557,521,10.593321018434,0.196536568060001,FALSE
"26163540200","single_tract","26163540200",1,3,1476,2322,826,524,588,384,10.4139965397667,0.193209583298083,FALSE
"26163540300","single_tract","26163540300",1,3,1608,2770,883,614,642,631,12.4214870991658,0.230454306106973,FALSE
"26163540400","single_tract","26163540400",1,2,1252,2026,588,458,543,437,9.07687863938933,0.168402201101843,TRUE
"26163540500","single_tract","26163540500",1,3,1389,2563,748,660,610,545,11.5358113732698,0.214022474457696,FALSE
"26163540600","single_tract","26163540600",1,2,1371,2416,720,584,560,552,10.8571010353877,0.20143044592556,FALSE
"26163540700","single_tract","26163540700",1,3,1313,2400,776,607,556,461,10.8018538231606,0.200405451264576,FALSE
"26163540800","single_tract","26163540800",1,2,920,1627,464,414,389,360,7.31966035102565,0.135800748627563,FALSE
"26163540900","single_tract","26163540900",1,3,1439,2641,729,600,642,670,11.8414804220708,0.219693514324134,TRUE
"26163541000","single_tract","26163541000",1,3,1732,2729,867,635,641,586,12.2519575743213,0.227309045905776,FALSE
"26163541100","single_tract","26163541100",1,2,1238,2066,736,539,475,316,9.31062591856818,0.172738885316664,FALSE
"26163541200","single_tract","26163541200",1,2,1124,1563,535,356,441,231,7.00431488152294,0.129950183330667,FALSE
"26163541300","single_tract","26163541300",1,2,1119,1920,710,540,463,207,8.67107001217616,0.160873284084901,FALSE
"26163541400","single_tract","26163541400",1,3,1185,2025,603,448,582,392,9.0623919385753,0.168133431142399,FALSE
"26163541500","single_tract","26163541500",1,2,1794,2897,795,621,768,713,12.9607045346311,0.240458340160131,TRUE
"26163541700","single_tract","26163541700",1,3,1524,2054,635,485,489,445,9.22350438978201,0.171122530422672,FALSE
"26163541800","single_tract","26163541800",1,2,1267,1966,587,481,510,388,8.83021288385331,0.163825842000989,FALSE
"26163542100","single_tract","26163542100",1,2,1957,3419,985,884,804,746,15.3912703451422,0.285552325512842,FALSE
"26163542200","single_tract","26163542200",1,2,1637,2755,811,665,619,660,12.3823675813262,0.229728526555217,FALSE
"26163542300","single_tract","26163542300",1,2,1046,1740,578,435,429,298,7.82568779995717,0.145189012986218,TRUE
"26163542400","single_tract","26163542400",1,2,1112,1923,644,510,390,379,8.67613839922099,0.160967317239722,FALSE
"26163542500","single_tract","26163542500",1,2,1032,1972,571,442,493,466,8.83796500427117,0.16396966612748,FALSE
"26163542600","single_tract","26163542600",1,2,1376,2343,744,585,521,493,10.5438727065025,0.195619159675371,FALSE
"26163542900","single_tract","26163542900",1,3,1362,2682,717,609,683,673,12.0197305472297,0.223000566738956,FALSE
"26163543000","single_tract","26163543000",1,2,709,1413,349,311,343,410,6.32856533324226,0.117413085959968,FALSE
"26163543100","single_tract","26163543100",1,2,966,1915,487,427,489,512,8.57697373929452,0.159127527630696,TRUE
"26163543200","single_tract","26163543200",1,3,1187,2291,739,587,524,441,10.3160918710498,0.191393170149348,FALSE
"26163543300","single_tract","26163543300",1,4,1412,2516,753,600,592,571,11.3011153728663,0.209668188735924,FALSE
"26163543400","single_tract","26163543400",1,3,1386,2344,711,591,588,454,10.5404359222783,0.195555397444867,FALSE
"LPSU_26163543500_26163543900","paired_link","26163543500",2,2,1029,1423,538,344,376,165,6.39310616039421,0.118610503903418,FALSE
"26163543700","single_tract","26163543700",1,2,703,1157,441,329,274,113,5.22837352981625,0.0970013641895407,FALSE
"LPSU_26163544000_26163546301","paired_link","26163544000",2,2,1970,3319,1102,818,934,465,14.9046953495804,0.276524960103532,TRUE
"26163544100","single_tract","26163544100",1,2,1059,1620,630,430,350,210,7.30999226352098,0.135621377801873,FALSE
"26163544200","single_tract","26163544200",1,2,1103,1488,440,311,366,371,6.6583366960695,0.123531293062514,FALSE
"26163544300","single_tract","26163544300",1,2,1320,1795,561,490,496,248,8.08540371570342,0.150007490087262,FALSE
"26163544800","single_tract","26163544800",1,2,886,1289,423,372,334,160,5.82067568850475,0.107990272514003,FALSE
"26163545100","single_tract","26163545100",1,2,530,753,246,196,181,130,3.39115036645646,0.0629155912144055,FALSE
"26163545200","single_tract","26163545200",1,4,1234,1900,620,537,396,347,8.5873764808888,0.15932052840239,FALSE
"26163545500","single_tract","26163545500",1,3,1543,2590,993,716,576,305,11.6988636987491,0.217047563984213,TRUE
"26163545600","single_tract","26163545600",1,3,1684,3326,1384,900,706,336,15.0226880328784,0.278714063689767,FALSE
"26163545700","single_tract","26163545700",1,2,1106,1987,751,584,428,224,8.9947196445931,0.166877915484102,FALSE
"26163545800","single_tract","26163545800",1,3,1859,3508,1405,1084,698,321,15.9191359024474,0.295345749581584,FALSE
"26163545900","single_tract","26163545900",1,2,1637,2530,1018,681,592,239,11.4161690677491,0.211802765635419,TRUE
"26163546000","single_tract","26163546000",1,2,1464,2008,748,554,450,256,9.06799744818326,0.168237429465367,FALSE
"26163546100","single_tract","26163546100",1,2,1626,2645,1021,687,646,291,11.9163756670869,0.221083036495119,FALSE
"26163546201","single_tract","26163546201",1,2,1245,2214,773,645,540,256,10.0075974507714,0.185669711517095,FALSE
"26163546600","single_tract","26163546600",1,2,873,1407,525,349,354,179,6.32806388285058,0.117403782613183,FALSE
"26163546700","single_tract","26163546700",1,2,1299,2091,718,481,529,363,9.38168552806093,0.17405724541857,TRUE
"26163547000","single_tract","26163547000",1,3,1730,2586,753,595,679,559,11.5933142062358,0.215089317369867,FALSE
"26163547100","single_tract","26163547100",1,3,2183,3311,1220,828,769,494,14.9033456902035,0.276499920040882,FALSE
"26163547200","single_tract","26163547200",1,4,1737,2753,981,620,635,517,12.3552454587912,0.229225333187221,FALSE
"LPSU_26163983600_26163985100","4tract_link","26163983600",4,5,140,164,94,35,23,12,0.738656939488919,0.0137042103801284,FALSE
"LPSU_26163985200_26163985300","paired_link","26163985200",2,2,247,209,120,50,32,7,0.943772930172171,0.0175097018584818,FALSE
